Job ID,Job Title,Company,Reviews,Location,Experience,Salary,Posted On,Openings,Applications,Job Description,Role,Industry Type,Department,Employment Type,Role Category,Education,Key Skills
93,Data Scientist,Wind Turbine Based Company,NA,Chennai,5 - 8 years,Not Disclosed,6 days ago,1,224,"Candidates with Minimum 5 - 8 years of overall experience in Data Science
Qualification in Bachelors or Masters / PH.D is Preferable
Must have experience in Data Science, Machine Learning and Statistical Modelling
Strong proficiency in Project Management with Good Communication
Responsibilities
Work with large data sets to solve complicated data analysis problems using statistical and machine learning approaches
Design and implement able to scale mathematical & predictive models, classifiers leveraging machine learning, data regression
Development of API, Kubernetes and integration of different modules in Cloud Azure environment
Manage & Coordinate with data architecture for selecting the platform and developing the application to finally testing and implementing solution
Design and support database and table schemas for new and existent data sources, proof of concepts, algorithms and custom analysis
Translate business needs into technical data designs Design and implement implementation of ETL (Extract, Transform, Load) data pipelines
Qualifications
Minimum of 5-7 years' Relevant experience with Bachelors' or Masters' degree in STEM (Science, Technology, Engineering, and Mathematics)
Work experience where data science, data engineering and application development was a major part of your work in automating software deployments and following a continuous delivery and deployment model
Experience with mathematical & statistical modeling, Cloud environment, APIs, Kubernetes
Solid experience in program coding with Python, SQL, .NET, C# or R",Data Scientist,Electronics Manufacturing (Electronic Manufacturing Services (EMS)),Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: B.Tech/B.E. in Any Specialization,"Data Science, Statistical Modelling, Machine Learning"
94,Urgent Req: Data Scientist with AWS Glue and Apache spark,Shell Infotech,NA,Pune,5 - 10 years,Not Disclosed,14 days ago,1,127,"Role & responsibilities

Programming skills:
Apache Spark
• Python
• SQL
• AWS Glue, Lambda, Redshift, Cloud formation, Glue catalogue, S3, IAM etc.
• Rest APIs.
Soft Skills:
Must be able to communicate with both technical and non-technical colleagues to understand their goals and needs.
• Must be able explain complex processes in simple terms so stakeholders can understand.
• Team collaboration.
• Familiar with Agile methodology and Scrum ceremonies

Preferred candidate profile


Perks and benefits",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: Any Graduate,"apache, Spark, Aws Glue, Python"
95,"Opportunity - NLP Data Scientist - Product based MNC, pune",Top B2B MNC in Auto Components Sector,NA,Pune,5 - 10 years,Not Disclosed,6 days ago,1,379,"Greeting from Peoplefy Infosolutions!!

We have an opening for NLP Data Scientist role for Pune Location with one of our MNC Clients.

Education: MTECH /BTECH/BE
Experience: 5+ years in Data Science

Skills:
Machine learning/advanced analytics experience with considerable time spent in building enterprise grade NLP solutions.
NLP solution building and applied research experience including Python
Strong experience developing and implementing NLP application in a commercial setting.
Hands-on experience in building POCs and solutions using GenerativeAI and LLMs can be a plus.
Expert in NLP methodologies: document embedding, text mining, topic classification, sentiment analysis, information extraction, conversational AI, generative AI etc.
Expert in deep learning models for sequence-to-sequence problems like LSTMs, GRUs, RNNs
Experience with NLTK, Spacy, Gensim, HuggingFace Transformers.




Interested candidates can share their resumes on - sayali.va@peoplefy.com",Data Scientist,Software Product,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: B.Tech/B.E. in Any Specialization,"Nltk, Natural Language Processing, Machine Learning, Deep Learning, Python, Data Science, Pytorch, Genism, Keras, Spacy"
96,Quantitative Analyst / Data Scientist,Bestex Research,NA,Bengaluru,0 - 3 years,Not Disclosed,30+ days ago,1,3922,"Quantitative analyst contributes to the design and management of execution algorithms for global equities, futures, and foreign exchange with the aim of continuously minimizing trading costs for our clients
BestEx Research quants will learn about algorithmic trading, data management, performance measurement, and market microstructure, globally
Quants are nested within a talented team of experts and practitioners in the field and may participate in writing research papers and interface closely with client research teams to improve trading costs
Our internal research environment includes tick-by-tick market data, historical backtesting simulators, instrument-level daily analytics and normalized order and execution data to facilitate new research
Our infrastructure allows speedy creation of execution algorithms and contains simulation capability for testing
Day-to-day responsibilities of this role may include but are not limited to:
Contribute to end-to-end research and implementation of execution algorithms, including idea generation, data collection and cleaning, model development, evaluation, and improvement
Work with Senior Quants and Product managers to produce custom client analysis and refine existing algorithms
Maintain, and optimize data pipeline and ETL process for our analytics product
Review results of production implementation including verification and testing.
Document theory, models, and results for a variety of audiences
Analyze and understand the idiosyncratic characteristics of client order flow and optimize execution algorithms


Highly motivated, willing to take ownership of work
Collaborative mindset with strong independent research abilities
Bachelors in computer science, data science or Masters in statistics, economics, quantitative finance, MBA (Financ",Data Scientist,Banking,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: MBA/PGDM in Marketing","Computer science, C++, Data management, Simulation, Data collection, market data, Analytics, SQL, Python, performance measurement"
97,Data Scientist,Glory Global Solutions,NA,"Puducherry, Chennai",0 years,2.5-3 Lacs P.A.,4 days ago,NA,2778,"Hiring Freshers Data scientist,machine learning ,AI BE B.TECH all Streams Any degree 2022,23,24 passout with good communication must immidiate joiner only",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: Any Graduate,"Data Science, Ai Solutions, Artificial Intelligence, Machine Learning, Ai Platform, Linux, Web Server, Python, SQL"
98,Data Scientist,CAI,4.035,Bangalore Rural,3 - 6 years,Not Disclosed,14 days ago,NA,920,"Data Scientist
Req number:
R3540
Employment type:
Full time
Worksite flexibility:
HybridWho we are
CAI is a global technology services firm with over 8,500 associates worldwide and a yearly revenue of $1 billion+. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and focus to do what is right—whatever it takes. Our tailor-made solutions create lasting results across the public and commercial sectors, and we are trailblazers in bringing neurodiversity to the enterprise.
Job Summary
We are looking for a Data Scientist to work with various business units to understand their challenges in manufacturing analytics, Revenue Forecasting, Predictive Maintenance, Spend Analytics etc. This position will be full-time and hybrid.
Job Description
What You’ll Do
Expertise in Forecasting Techniques, Regression Techniques, Anomaly detection.
Understand business challenges and convert it to Analytical Solutions and present to management
Primary focus will be in applying data mining techniques, Hypothesis testing, doing statistical analysis, and building high quality prediction systems using AI/ML Algorithms
Use predictive modelling to increase and optimize Customer experiences, Revenue generation, Cost reduction, Transportation optimization etc.
Experience with common data science toolkits, such as PYCARET, TensorFlow, Keras, NumPy, Sci-Kit, Flask, Pandas, NLP and Advance libraries etc.
Good hands-on experience in data visualization tools like ggplot, matplotlib, Tableau, PowerBI.
Worked in Supply chain domain or Manufacturing domain and executed projects on Forecasting, Optimization, Anomaly Detection, Image Classification, Clustering, Sentiment Analysis etc.
Proficiency in using query languages such as SQL, Data Lakes, Data Factory, Kubernetes etc.
Preferably hands-on in Model development and deployment in Azure using CI/CD pipeline.
What You'll Need
6-8 Years’ experience Model Development and Deployment
Python, Azure/AWS.
Expertise in Statistical model building and Machine Learning
Good knowledge on Data extraction, Data Cleansing, Data preparation, Model Development, and deployment for models
Mine and analyze data from on-prim/cloud database to drive optimization and process improvement
Hands on expertise in Model development and deployment using CI/CD, Docker etc.
Physical Demands
Ability to safely and successfully perform the essential job functions consistent with the ADA and other federal, state and local standards
Sedentary work that involves sitting or remaining stationary most of the time with occasional need to move around the office to attend meetings, etc.
Ability to conduct repetitive tasks on a computer, utilizing a mouse, keyboard, and monitor.
Reasonable accommodation statement
If you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employment selection process, please direct your inquiries to application.accommodations@cai.io or (888) 824 – 8111.",Full Stack Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: Any Graduate,"kubernetes, natural language processing, hypothesis testing, scikit-learn, forecasting, data mining, microsoft azure, datafactory, anomaly detection, model building, random forest, machine learning, sql, tensorflow, regression, keras, model development, query writing, flask, data lake"
99,Data Scientist,Loyalytics,4.115,Bengaluru,2 - 5 years,Not Disclosed,14 days ago,4,3512,"About the Job
We are seeking a talented and experienced Data Scientist to join our team. The ideal candidate will have a strong background in statistics, mathematics, and computer science, along with excellent analytical and problem-solving skills. As a Data Scientist, you will be responsible for collecting, analyzing, and interpreting large datasets to identify actionable insights and drive strategic decision-making across the organization. You will work closely with cross-functional teams to understand business needs, design experiments, develop predictive models, and communicate findings to key stakeholders.
Responsibilities
Ability to understand the problem statement and implement data science
solutions & techniques independently
Work with stakeholders throughout the organization to identify opportunities
for leveraging company data to drive business solutions.
Ability to learn and pick up a new language/tool/ platform quickly.
Conceptualize, design, and deliver high quality solutions and insightful analysis.
Conduct research and prototyping
Data and requirements gathering
Collaborate and Coordinate with different functional teams (DE and Product development) to implement models and monitor outcomes.
Ability to deliver AI/ML based solutions around host of problems: Hypothesis testing, Z test, T test, ANOVA, Customer Segmentation & Targeting, Propensity Modelling, EDA, etc.
Comfortable with working in Agile way of development
Development & deployment of solutions that leverage data sciences & advanced analytics to drive incremental value for a retail business (RFM analysis, Mission segmentation, Price Optimization, Promo Optimization, CLTV
etc.)
Hands on Experience Required:
Tools/Languages: -
Must-have
Python Expert Level
SQL - Expert
Pyspark Intermediate
Databricks Intermediate
JIRA or similar tool Beginner/Intermediate
Good to have: -
Knowledge of any visualization tool
Understanding of cloud infra and architecture
Experience in Retail domain",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","SQL, Python, Pyspark, Data Bricks"
100,Data Scientist,Superior Electric Machines,NA,"Mumbai, Gurugram, Bengaluru",10 - 12 years,Not Disclosed,15 days ago,1,429,"We are looking for Data Scientist.
A minimum of 8-10 years of professional experience in data science, including leadership roles in data science teams or consulting.
Proven experience in leading and managing managers and a demonstrated ability to foster a high-performance team culture.
Must possess a deep and practical knowledge of data science, encompassing statistics, causality, experimentation, and causal inference, as well as knowledge in modeling.
Candidate should be good in Python, Sql.
Experience in Machine Learning is a big plus.
Experience in Power BI is an added advantage.
Manage organizational change effectively, whether it involves new technologies, processes, or initiatives.
Communicate the rationale for change, involve key stakeholders in decision-making, and manage resistance effectively.
Develop and implement change management plans that minimize disruption and ensure that your team is able to adapt to new ways of working.
Must have a track record of applying these skills and leading teams to design and implement innovative data-driven products and deliver impactful insights and recommendations
Proven ability to understand and navigate complex business landscapes, including familiarity with industry-specific challenges and opportunities.
Demonstrated experience in identifying and quantifying the business impact of data-driven initiatives, such as revenue growth, cost savings and customer retention.
A strategic mindset with the ability to envision and communicate long-term data-driven goals and objectives that align with the organization overall strategy.
Proficiency in developing and executing data-driven roadmaps and plans that drive innovation, competitive advantage, and market growth.",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Data Science, python, power bi, data scientist, machine learning, change management, sql, statistics"
101,Data Scientist,Biz Tech Consultants,3.53,Nehru Place,3 - 8 years,Not Disclosed,Just now,1,Less than 10,"We are seeking an experienced Data Scientist to join our team. The ideal candidate will have a strong background in building/deploying machine learning models in production,focusing on computer vision (CV)/natural language processing (NLP) models

Required Candidate profile
3-5 yrs of exp as a Data Scientist or Machine Learning Engineer.
Strong proficiency in Python & popular data science libraries (e.g., NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,Keras,OpenCV)",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: B.Tech/B.E. in Computers, B.Sc in Computers, Statistics, B.A in Statistics, BCA in Computers
PG: MS/M.Sc(Science) in Computers, Statistics, MCA in Computers, M.A in Statistics, M.Tech in Computers, MCM in Computers and Management","Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP, Pandas, Keras, Computer Vision, AWS, Python, TensorFlow"
102,Data Scientist,Biz Tech Consultants,3.53,Gurugram,3 - 8 years,Not Disclosed,Just now,1,12,"We are seeking an experienced Data Scientist to join our team. The ideal candidate will have a strong background in building/deploying machine learning models in production,focusing on computer vision (CV)/natural language processing (NLP) models

Required Candidate profile
3-5 yrs of exp as a Data Scientist or Machine Learning Engineer.
Strong proficiency in Python & popular data science libraries (e.g., NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,Keras,OpenCV)",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: BCA in Computers, B.Sc in Computers, Statistics, B.A in Statistics, B.Tech/B.E. in Computers
PG: M.A in Statistics, MS/M.Sc(Science) in Computers, Statistics, MCA in Computers, M.Tech in Computers, MCM in Computers and Management","Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP, Pandas, Keras, Computer Vision, AWS, Python, TensorFlow"
103,Data Scientist,Biz Tech Consultants,3.53,Ghaziabad,3 - 8 years,Not Disclosed,Just now,1,Less than 10,"We are seeking an experienced Data Scientist to join our team. The ideal candidate will have a strong background in building/deploying machine learning models in production,focusing on computer vision (CV)/natural language processing (NLP) models

Required Candidate profile
3-5 yrs of exp as a Data Scientist or Machine Learning Engineer.
Strong proficiency in Python & popular data science libraries (e.g., NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,Keras,OpenCV)",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: B.A in Statistics, BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Computers, Statistics
PG: MCA in Computers, M.Tech in Computers, MCM in Computers and Management, M.A in Statistics, MS/M.Sc(Science) in Computers, Statistics","Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP, Pandas, Keras, Computer Vision, AWS, Python, TensorFlow"
104,Data Scientist,Biz Tech Consultants,3.53,Noida,3 - 8 years,Not Disclosed,Just now,1,12,"We are seeking an experienced Data Scientist to join our team. The ideal candidate will have a strong background in building/deploying machine learning models in production,focusing on computer vision (CV)/natural language processing (NLP) models

Required Candidate profile
3-5 yrs of exp as a Data Scientist or Machine Learning Engineer.
Strong proficiency in Python & popular data science libraries (e.g., NumPy,Pandas,Scikit-learn,TensorFlow,PyTorch,Keras,OpenCV)",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: B.Sc in Computers, Statistics, B.A in Statistics, BCA in Computers, B.Tech/B.E. in Computers
PG: MCM in Computers and Management, MS/M.Sc(Science) in Computers, Statistics, M.A in Statistics, MCA in Computers, M.Tech in Computers","Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP, Pandas, Keras, Computer Vision, AWS, Python, TensorFlow"
105,Data Scientist,Chubb,3.8137,Bengaluru,2 - 4 years,Not Disclosed,8 days ago,NA,1624,"Responsibilities
Work with business partners globally to define the scope of the project, determine analyses to be performed, manage deliverables against timelines, present of results and implement the model.
Use broad spectrum of NLP, Machine Learning, and deep learning techniques to extract impactful features from unstructured data.
Develop and implement models that help with drawing risk related insights from large datasets to aid business decision making; Ensure that the model can meet the desired KPIs postproduction.
Be a thought leader and generate ideas / novel approaches to business problems.
Stay abreast of the developments in the rapidly changing field of AI and machine learning.
Handle stakeholder requests and perform work with little to no assistance.
Mentor and coach junior team members and provide support on projects requiring advanced skill and domain expertise.
Gain deeper understanding of Chubbs business and develop expertise on multiple lines of business.
Requirements
Sound understanding of ML concepts Probabilistic Models, Supervised vs Unsupervised Learning, Ensemble Techniques, Hyperparameter Optimization, and Deep Learning; Strong experience in developing and maintaining machine learning models.
ProficientinPython with strong capabilities in dataengineering, data transformation, data analysis and data visualization.Knowledge of R/SQLwill be a plus.
Good knowledgein machine learning tools and libraries (matplotlib, ggplot,scikit-learn,h2o,R,MLlib,etc.)
Strong understanding of BERT and Transformers models is highly desired for this position. Additionally, knowledge of Generative AI based models and Prompt Engineering will be an added advantage.
Bachelor's degree incomputer science,Statistics,Math,Actuarial,or related quantitative fields.Advanced degree in data science, business analytics would be an add on.
Minimum3years ofhands-onexperience in dataanalyticsfieldswould be good.
Previous exposure to/ knowledge of the insurance industrywill be an added advantage.
Self-motivated and independent learner with effective communication skills and present analysis/findings.
Ability to handle and prioritize multiple tasks.
Detail-oriented, organized, and analytical and problem-solving skills with a creative approach to solving problems and offering alternate perspectives.
Experience in visualization tools like Qlik, Power BI etc. will be an added advantage.
Experience with data and machine learning services using Azure would be an add-on.
Must have experience with GitHub and RESTful APIs.
Knowledge and working experience with Agile methodology is an added plus.
Knowledge/ Experience in Big data technologies will be an advantage.
Should be adept at research and must look to apply new methodologies to varied problem statements.",Full Stack Data Scientist,Insurance,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","Data Science, deep learning, r, nlp, data analysis, power bi, business analytics, business development, machine learning, artificial intelligence"
106,Data Scientist,Sagality India,3.81222,"Bengaluru, Mumbai (All Areas)",3 - 5 years,Not Disclosed,8 days ago,1,1123,"Roles and Responsibilities
Design, develop, and deploy data science solutions using Python, SQL, and machine learning algorithms.
Collaborate with cross-functional teams to identify business problems and translate them into actionable insights.
Develop predictive models to drive business outcomes and improve customer experiences.
Conduct exploratory data analysis, feature engineering, and model evaluation to ensure high accuracy.
Communicate complex technical findings effectively through reports and presentations.
Desired Candidate Profile
3-5 years of experience in a similar role as a Data Scientist.
Strong proficiency in programming languages such as Python and SQL.
Experience with natural language processing tools like NLTK or spaCy is a plus.
Experience working with large datasets using libraries like Pandas or NumPy.
knowledge of statistical techniques like regression or time series forecasting is required.
Experience preferably in the context of NLP, Machine Learning, Deep Learning, Linux Commands.
Proficiency in data manipulation and analysis tools and languages such as Python, R, SQL, and Pandas. Proficiency in creating data pipelines, end-to-end building, training, testing of models.
Proficiency in fine-tuning of NLP, ML/DL models. Proficiency in ground truth annotation and extraction.
Understanding of mathematical and statistical equations


Shift Timings - 11 am to 8 PM
Location - Bangalore and Mumbai

Regards,
Naveen.vediyappan@sagilityhealth.com",Data Science & Analytics - Other,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Analytics - Other,UG: Any Graduate,"Natural Language Processing, Machine Learning, Python, SQL"
107,Data Scientist,Info Test Ehire Campaign,NA,"Pune, Gurugram, Bengaluru",4 - 9 years,15-20 Lacs P.A.,8 days ago,3,953,"Job | We have an urgent opening with IQVIA for the Data Scientist profile.

NOTE: Candidates whose profiles get shortlisted will have to go through an interview.

Below are the details of FYR:
Notice Period:- Immediate to 60 days ONLY
Company Name: IQVIA
Job Location: Bangalore/Gurugram/Pune (Hybrid)
Experience: 5+

IF INTERESTED, KINDLY FILL UP BELOW MENTION TRACKER AND REVERT WITH YOUR UPDATED CV ASAP.
Total Experience:
Relevant Experience in Regression/ Clustering/ time for broadcasting
Relevant Experience in Python
Relevant Experience in Market Mix Modelling (MMM)
Relevant Experience in DS with ML
English Communication Self rating out of 5:
Available for Virtual interview:
CTC (in lpa):
ECTC (in lpa):
Notice Period (in days):
What is your current location:


Roles and Responsibilities :
Must have skills 
ML- (Regression, Clustering, time for broadcasting) Azure
Python NLP
SQL Generative API
Advance Excel

Position Purpose:

• To handle commercial analytics projects, specifically marketing mix, forecasting, segmentation & decision tree, customer and brand performance analytics projects with proficiency in Python, R and SAS

Principal Accountabilities:

• Work across projects such as promotional return (ROI analysis), Resource and price optimization analysis, Physician / patient profiling

• Develop a good understanding of consumer offerings, proprietary databases, and analytical approaches to effectively guide and support client-facing stakeholders across globe mainly in Europe and US

• Handle small and large datasets on projects efficiently and figure out the right technology for processing the data (e.g. Excel, R, Python etc.,). Be a champion on analytics technologies within the team

• Present findings and recommendations to stakeholders in business point of view


Education, Specialized Skills Required & Experience:

• Education:

An academic background in quantitative sciences (Master’s in Economics / Econometrics / Statistics /Computer Science/ Operations Research / Mathematics / Data Mining / Agricultural Economics etc.) from a well-known institution

• Specialized Skills Required:

o Strong organizational skills with the ability to multitask and work independently and efficiently to meet scheduled deadlines

o Ability to work in a team and coordinate with team members in performing QC for the delivery of projects with tight turnaround time

o Self-motivated with the ability to make decisions in the absence of detailed instructions

o Proficiency in MS office applications such as Excel and Power Point proficiency in SAS, R, Python are mandatory will be plus, if experience id data visualization platforms like Tableau, Power BI

Organization Reporting and Scope:
• Reports to Manager – AA/CE CoE, CESE, IQVIA - GDC
• Management scope: (number of full-time employees): Not Applicable
• Annual revenue scope: Not applicable",Data Scientist,Recruitment / Staffing,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,UG: B.Tech/B.E. in Any Specialization,"Machine Learning, Python, SQL, Market Mix Modelling, Regression, Marketing Mix, Clustering, Mmm"
108,Data Scientist,Stellantis,3.5174,Bengaluru,7 - 12 years,Not Disclosed,8 days ago,2,377,"Key Responsibilities:

Machine Learning & AI:
Develop and implement machine learning models and algorithms for predictive analytics, anomaly detection, and classification tasks using real-time and historical data.
Experiment with and deploy advanced AI techniques, including deep learning, reinforcement learning, and natural language processing, as applicable to automotive data.
Data Science & Modeling:
Design and build statistical models to analyze telematics data and vehicle performance, including regression, clustering, and time-series analysis.
Utilize feature engineering techniques to extract relevant features from complex datasets and improve model accuracy.
Real-Time Data Processing:
Create and maintain scalable data pipelines to handle real-time streaming data from automotive sensors and telematics systems.
Implement real-time analytics solutions to monitor and respond to data changes instantaneously.
Automotive Domain Expertise:
Apply domain knowledge to develop models that enhance vehicle performance, optimize driver behavior, and predict maintenance needs.
Collaborate with automotive engineers to integrate data science solutions into vehicle systems and applications.
Data Visualization & Interpretation:
Build interactive dashboards and visualizations to convey complex data insights and model results to stakeholders.
Interpret model outputs and translate them into actionable recommendations for product development and business strategy.
Research & Innovation:
Stay current with the latest developments in data science, machine learning, and AI to bring cutting-edge techniques and tools to the team.
Conduct research to explore new methodologies and technologies that could be applied to automotive data science challenges.
Collaboration & Communication:
Work closely with cross-functional teams, including engineers, product managers, and data engineers, to align data science efforts with business goals.
Present findings and insights to technical and non-technical audiences, including executive leadership.

Qualifications:
Education:
Bachelors or Master’s degree in Data Science, Computer Science, Mathematics, Statistics, Engineering, or a related field.

Experience (Relevant 5+ years):
Proven experience in data science roles with a focus on machine learning, AI, and predictive modeling.
Experience working with real-time/streaming data and telematics is highly desirable.
Background in the automotive industry or with automotive data is a plus.
Skills:
Proficiency in programming languages such as Python, R, or Java.
Hands-on experience with machine learning, deep learning frameworks and libraries (e.g., Scikit-learn, TensorFlow, PyTorch, Keras).
Knowledge of statistical analysis and modeling techniques (e.g., regression, classification, clustering).
Familiarity with data processing tools and frameworks (e.g., Apache Kafka, Apache Flink, Spark).
Strong skills in feature engineering, model evaluation, and algorithm tuning, MLOps.
Experience with data visualization tools (e.g., Tableau, Power BI, Matplotlib, Seaborn, ggplot) and techniques.
Excellent problem-solving abilities, with a knack for deriving actionable insights from complex datasets.
Preferred:
Experience with deep learning and reinforcement learning techniques.
Knowledge of vehicle communication protocols (e.g., CAN bus) and telematics systems.
Familiarity with cloud-based machine learning services and platforms (e.g., AWS SageMaker, Google AI Platform, Azure ML).
What We Offer:
Competitive salary and benefits package.
Opportunities for career growth and professional development.
A collaborative and innovative work environment.
Additional perks and benefits, e.g., flexible working hours, health insurance, etc.",Software Development - Other,Software Product,Engineering - Software & QA,"Full Time, Permanent",Software Development,"UG: Any Graduate
PG: Any Postgraduate","Data Science, Tensorflow, Machine Learning, Deep Learning, Python, Pytorch, Kafka, Keras, Spark, Tableau, R Program"
109,Data Scientist,Viaprom Technologies,NA,"Kolkata, Bengaluru",6 - 8 years,Not Disclosed,9 days ago,1,155,"Job Description:
We are seeking Senior Data Scientists (4 to 5 Candidates) to join our Data Science Team and work with India s largest FMCG Organisation at our Clients Supply Chain and Distribution division in Kolkata. This role is ideal for a seasoned professional with a deep understanding of supply chain and distribution dynamics and the ability to independently drive data-driven decisions that enhance operational efficiency.

Key Responsibilities:
1. Analyze and optimize Distribution and Supply Chain processes using advanced statistical and machine learning techniques to reduce costs, improve efficiency, and enhance overall supply chain performance.
2. Develop predictive models for demand forecasting, inventory management, and logistics optimization to ensure timely and cost-effective distribution of products.
3. Leverage Python and SQL to manage, clean, and analyze large datasets related to supply chain and distribution, identifying trends, bottlenecks, and opportunities for improvement.
4. Design and implement data-driven solutions for inventory optimization, warehouse management, and transportation logistics, ensuring smooth operations and minimal disruptions.
5. Create interactive dashboards and visualizations using Tableau or Power BI to effectively communicate Distribution and Supply Chain Insights to Client's management and stakeholders.
6. Collaborate with logistics, procurement, and operations teams to align data science initiatives with business goals and drive improvements in supply chain efficiency.
7. Apply statistical analysis and hypothesis testing to validate models and refine supply chain strategies, ensuring data-driven decision-making.
8. Stay current with advancements in data science, machine learning, and AI, applying relevant technologies to enhance Client's supply chain and distribution processes.

Skills and Qualifications:
1.Education: Masters in computer science, Statistics, Mathematics, Data Science, or a related field.
2. Experience: 6-8 years of experience in data science, with a strong focus on supply chain and distribution within the FMCG sector.
3. Technical Proficiency: Advanced skills in Python (including libraries like NumPy, pandas, scikit-learn) and SQL, with proven experience in implementing data science solutions for supply chain management.
4. Analytical Skills: Expertise in developing predictive models, performing statistical analysis, and optimizing supply chain operations.
5. Independence: Ability to work independently, manage complex projects, and deliver impactful results with minimal oversight.
6. Communication: Strong communication skills, capable of translating complex data insights into actionable strategies for non-technical stakeholders.
7. Leadership: Experience in mentoring and leading data science projects that drive significant business impact.
8. Tool Knowledge: Proficient in data visualization tools such as Tableau or Power BI. Familiarity with big data technologies (e.g., Spark, Hadoop) and cloud platforms (e.g., AWS, Azure, GCP) is a plus.",Full Stack Data Scientist,Analytics / KPO / Research,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization
Doctorate: Doctorate Not Required","Data Science, Predictive Modeling, Azure, GCP, Data Scientist, Hadoop, Spark, Python Programming, AWS, Python, SQL"
110,Data Scientist,Cognite,NA,Bengaluru,3 - 7 years,Not Disclosed,13 days ago,1,226,"3+ years industry experience (or an academic background) in the oil and gas, manufacturing or Power & Utilities domain building analytical solutions (data-driven and/or simulations) for production optimization and predictive maintenance, such as general well monitoring, well event predictions (risk identification), production planning, flow assurance, etc.
1+ years experience serving as a domain expert on internal or customer projects
Proficient with Python and its data ecosystem (pandas, numpy), ML libraries (scikit-learn, keras, etc)
Experience in data visualization using PowerBI, Grafana, Tableau, or web development frameworks like Plotly Dash, Streamlit, etc.
Promoting good software development practices including automated tests and documentation
Experience with Version control (git, for example)
Experience contributing code to a large software project
Pragmatic, can balance short term and long term tradeoffs
Realistic and credible advisor on machine learning
Excellent communicator internally and with customers; Managing expectations of technical stakeholders at the customer.
Mentoring and quality assurance of juniors work
Cloud experience, such as building streaming calculations & models as serverless functions
Deployment to production using provided infrastructure practices
A track record of working in diverse industries
Ready to stay up to date with latest developments in GenAI and using GenAI services to build use cases for customers",Data Scientist,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,"UG: Any Graduate
PG: Any Postgraduate","Manager Quality Assurance, GIT, Production planning, Analytical, Web development, Machine learning, microsoft, WiFi, digital transformation, Monitoring"
